CREATED_AT,VOUCHER_BASED_REFILL,SEGMENTATION_ID,AMOUNT,QYT,REFILL_TYPE
8/19/2020,0,V2M,2000,1,PIN_LESS_BASED
8/24/2020,1,V100,766400,7664,PIN_BASED
8/29/2020,0,V300,8700,29,PIN_LESS_BASED
9/9/2020,0,V050,18100,362,PIN_LESS_BASED
9/13/2020,0,V050,10650,213,PIN_LESS_BASED
9/13/2020,1,S030,240,8,PIN_BASED
9/16/2020,0,V010,2940,294,PIN_LESS_BASED
9/24/2020,1,V050,1236550,24731,PIN_BASED
9/26/2020,0,V050,17750,355,PIN_LESS_BASED
9/26/2020,1,V020,873580,43679,PIN_BASED
9/30/2020,0,V630,42000,70,PIN_LESS_BASED
10/4/2020,1,V100,668500,6685,PIN_BASED
6/17/2020,0,V010,2230,223,PIN_LESS_BASED
6/21/2020,1,V080,720,9,PIN_BASED
6/30/2020,1,V010,477740,47774,PIN_BASED
7/1/2020,0,V050,19150,383,PIN_LESS_BASED
7/16/2020,0,ADJUSTMENT,4976,78,TUM_ADJUSTMENT
7/26/2020,0,V020,5660,283,PIN_LESS_BASED
7/31/2020,0,V2M,4000,2,PIN_LESS_BASED
8/6/2020,0,V200,8000,40,PIN_LESS_BASED
8/23/2020,0,ADJUSTMENT,1615,82,TUM_ADJUSTMENT
9/3/2020,0,V300,10800,36,PIN_LESS_BASED
9/6/2020,1,V020,755880,37794,PIN_BASED
9/7/2020,1,S030,240,8,PIN_BASED
9/10/2020,0,V080,80,1,PIN_LESS_BASED
9/10/2020,0,V2M,4000,2,PIN_LESS_BASED
9/16/2020,1,V150,10800,72,PIN_BASED
9/19/2020,1,V050,918100,18362,PIN_BASED
9/20/2020,1,V050,627400,12548,PIN_BASED
9/25/2020,1,V300,176400,588,PIN_BASED
9/26/2020,1,V010,580060,58006,PIN_BASED
9/26/2020,1,V630,379200,632,PIN_BASED
9/29/2020,1,V080,1040,13,PIN_BASED
10/4/2020,0,V300,6600,22,PIN_LESS_BASED
6/5/2020,1,S030,330,11,PIN_BASED
6/17/2020,0,V630,38400,64,PIN_LESS_BASED
6/23/2020,1,V080,560,7,PIN_BASED
6/25/2020,1,V150,11250,75,PIN_BASED
7/8/2020,0,V020,6720,336,PIN_LESS_BASED
7/17/2020,1,V200,120000,600,PIN_BASED
7/28/2020,1,V010,519190,51919,PIN_BASED
7/29/2020,0,V300,12000,40,PIN_LESS_BASED
8/11/2020,0,V630,22800,38,PIN_LESS_BASED
8/27/2020,0,V630,42600,71,PIN_LESS_BASED
8/29/2020,0,V200,6800,34,PIN_LESS_BASED
8/30/2020,0,V100,15200,152,PIN_LESS_BASED
9/4/2020,0,V300,7800,26,PIN_LESS_BASED
9/4/2020,1,V100,713000,7130,PIN_BASED
9/12/2020,0,V300,7800,26,PIN_LESS_BASED
9/19/2020,0,V150,450,3,PIN_LESS_BASED
9/24/2020,1,V020,1008980,50449,PIN_BASED
10/5/2020,1,V020,818380,40919,PIN_BASED
6/3/2020,1,V630,471600,786,PIN_BASED
6/16/2020,1,V2M,36000,18,PIN_BASED
6/20/2020,0,V100,18100,181,PIN_LESS_BASED
6/20/2020,0,V630,29400,49,PIN_LESS_BASED
7/9/2020,0,V2M,8000,4,PIN_LESS_BASED
7/12/2020,1,V300,90000,300,PIN_BASED
7/22/2020,0,V100,21600,216,PIN_LESS_BASED
7/24/2020,1,V2M,52000,26,PIN_BASED
7/31/2020,1,V200,124800,624,PIN_BASED
8/9/2020,1,V2M,18000,9,PIN_BASED
8/12/2020,1,V080,400,5,PIN_BASED
8/13/2020,1,V010,545830,54583,PIN_BASED
8/15/2020,0,V010,2600,260,PIN_LESS_BASED
8/20/2020,1,V050,900850,18017,PIN_BASED
9/7/2020,0,V020,6460,323,PIN_LESS_BASED
9/22/2020,1,V010,615660,61566,PIN_BASED
9/28/2020,1,V630,496800,828,PIN_BASED
10/1/2020,1,S030,390,13,PIN_BASED
10/1/2020,1,V630,483600,806,PIN_BASED
10/6/2020,0,V200,5600,28,PIN_LESS_BASED
10/6/2020,1,V300,145200,484,PIN_BASED
6/4/2020,0,V200,8400,42,PIN_LESS_BASED
6/5/2020,1,V200,90600,453,PIN_BASED
6/7/2020,1,V020,558000,27900,PIN_BASED
6/9/2020,0,V100,57000,570,PIN_LESS_BASED
6/11/2020,0,V150,2550,17,PIN_LESS_BASED
6/28/2020,0,V2M,4000,2,PIN_LESS_BASED
7/3/2020,0,V050,14000,280,PIN_LESS_BASED
7/5/2020,0,V020,1720,86,PIN_LESS_BASED
7/11/2020,1,V020,738460,36923,PIN_BASED
7/24/2020,0,V080,240,3,PIN_LESS_BASED
7/25/2020,1,V630,396000,660,PIN_BASED
8/5/2020,0,V080,80,1,PIN_LESS_BASED
8/7/2020,1,V080,960,12,PIN_BASED
8/21/2020,1,V100,804900,8049,PIN_BASED
8/26/2020,1,V050,932600,18652,PIN_BASED
8/27/2020,1,V200,136000,680,PIN_BASED
9/12/2020,0,V020,7300,365,PIN_LESS_BASED
9/17/2020,1,V2M,32000,16,PIN_BASED
9/27/2020,0,V300,6600,22,PIN_LESS_BASED
10/3/2020,1,S030,540,18,PIN_BASED
6/3/2020,1,V050,710550,14211,PIN_BASED
6/5/2020,1,V630,382800,638,PIN_BASED
6/21/2020,0,V010,1920,192,PIN_LESS_BASED
6/23/2020,1,V150,19950,133,PIN_BASED
6/26/2020,1,V020,794040,39702,PIN_BASED
6/29/2020,1,V100,628200,6282,PIN_BASED
7/3/2020,0,V2M,2000,1,PIN_LESS_BASED
7/15/2020,1,S030,210,7,PIN_BASED
7/16/2020,0,V630,19800,33,PIN_LESS_BASED
7/22/2020,0,V630,42000,70,PIN_LESS_BASED
7/22/2020,1,V150,13350,89,PIN_BASED
7/23/2020,0,V300,12300,41,PIN_LESS_BASED
8/3/2020,0,V020,6420,321,PIN_LESS_BASED
8/5/2020,1,V2M,56000,28,PIN_BASED
8/17/2020,1,V150,13200,88,PIN_BASED
9/9/2020,0,V630,30000,50,PIN_LESS_BASED
9/9/2020,1,V020,867960,43398,PIN_BASED
9/10/2020,1,V2M,28000,14,PIN_BASED
9/16/2020,1,V2M,20000,10,PIN_BASED
9/17/2020,1,S030,480,16,PIN_BASED
10/2/2020,1,V630,479400,799,PIN_BASED
6/5/2020,0,V300,12900,43,PIN_LESS_BASED
6/6/2020,0,V300,8700,29,PIN_LESS_BASED
6/6/2020,1,V050,551800,11036,PIN_BASED
6/6/2020,1,V200,73200,366,PIN_BASED
6/11/2020,0,V300,19800,66,PIN_LESS_BASED
6/15/2020,0,V200,9200,46,PIN_LESS_BASED
6/15/2020,1,V2M,36000,18,PIN_BASED
6/19/2020,1,V050,802400,16048,PIN_BASED
6/22/2020,0,V100,30000,300,PIN_LESS_BASED
6/30/2020,0,V010,2830,283,PIN_LESS_BASED
7/2/2020,0,V080,80,1,PIN_LESS_BASED
7/8/2020,0,V200,10000,50,PIN_LESS_BASED
7/18/2020,0,V200,5400,27,PIN_LESS_BASED
7/24/2020,1,V300,208500,695,PIN_BASED
8/1/2020,0,V020,6600,330,PIN_LESS_BASED
8/12/2020,0,V300,15000,50,PIN_LESS_BASED
8/14/2020,0,V630,20400,34,PIN_LESS_BASED
8/16/2020,1,V300,77400,258,PIN_BASED
8/26/2020,1,V080,720,9,PIN_BASED
9/3/2020,1,V050,905200,18104,PIN_BASED
9/8/2020,1,V300,159300,531,PIN_BASED
9/9/2020,0,ADJUSTMENT,6136,108,TUM_ADJUSTMENT
9/12/2020,0,V010,2790,279,PIN_LESS_BASED
9/19/2020,0,V630,33000,55,PIN_LESS_BASED
9/27/2020,1,V080,160,2,PIN_BASED
9/29/2020,1,V300,286800,956,PIN_BASED
10/5/2020,1,V150,11550,77,PIN_BASED
6/17/2020,1,V100,489000,4890,PIN_BASED
7/2/2020,0,V630,31200,52,PIN_LESS_BASED
7/4/2020,0,V050,3600,72,PIN_LESS_BASED
7/12/2020,1,V150,9150,61,PIN_BASED
7/17/2020,1,V630,386400,644,PIN_BASED
7/21/2020,0,V010,2800,280,PIN_LESS_BASED
7/23/2020,0,V630,35400,59,PIN_LESS_BASED
7/27/2020,0,V630,40200,67,PIN_LESS_BASED
8/5/2020,0,ADJUSTMENT,4307,91,TUM_ADJUSTMENT
8/11/2020,1,V150,12150,81,PIN_BASED
8/13/2020,1,V630,394800,658,PIN_BASED
8/27/2020,0,V2M,6000,3,PIN_LESS_BASED
8/28/2020,1,V050,979550,19591,PIN_BASED
9/6/2020,0,V2M,4000,2,PIN_LESS_BASED
9/6/2020,1,S030,300,10,PIN_BASED
9/11/2020,0,V100,25300,253,PIN_LESS_BASED
9/25/2020,0,V100,25200,252,PIN_LESS_BASED
9/26/2020,1,V200,127600,638,PIN_BASED
9/27/2020,0,V150,1350,9,PIN_LESS_BASED
10/1/2020,0,V2M,12000,6,PIN_LESS_BASED
6/1/2020,1,V200,118400,592,PIN_BASED
6/8/2020,1,S030,240,8,PIN_BASED
6/12/2020,1,V300,98700,329,PIN_BASED
6/23/2020,1,V010,484470,48447,PIN_BASED
6/27/2020,1,V300,132300,441,PIN_BASED
6/28/2020,0,V300,6900,23,PIN_LESS_BASED
7/6/2020,0,V050,26800,536,PIN_LESS_BASED
7/8/2020,0,ADJUSTMENT,3212,85,TUM_ADJUSTMENT
7/23/2020,1,V300,217800,726,PIN_BASED
7/30/2020,0,V200,5800,29,PIN_LESS_BASED
8/8/2020,0,V100,16600,166,PIN_LESS_BASED
8/11/2020,0,V200,8000,40,PIN_LESS_BASED
8/15/2020,0,V020,7580,379,PIN_LESS_BASED
8/18/2020,0,V150,900,6,PIN_LESS_BASED
8/21/2020,1,V630,562200,937,PIN_BASED
8/28/2020,0,V630,37200,62,PIN_LESS_BASED
8/30/2020,0,V020,6300,315,PIN_LESS_BASED
9/1/2020,1,S030,330,11,PIN_BASED
9/3/2020,1,V020,835180,41759,PIN_BASED
9/7/2020,1,V050,754750,15095,PIN_BASED
9/10/2020,0,V200,6200,31,PIN_LESS_BASED
9/14/2020,0,V150,1050,7,PIN_LESS_BASED
10/3/2020,1,V630,361200,602,PIN_BASED
6/2/2020,0,V300,12000,40,PIN_LESS_BASED
6/7/2020,1,S030,150,5,PIN_BASED
6/14/2020,0,V100,14300,143,PIN_LESS_BASED
6/23/2020,1,V630,603600,1006,PIN_BASED
6/29/2020,0,V200,9600,48,PIN_LESS_BASED
7/5/2020,0,V630,3000,5,PIN_LESS_BASED
7/13/2020,0,V020,7740,387,PIN_LESS_BASED
7/14/2020,1,V010,493110,49311,PIN_BASED
7/22/2020,0,ADJUSTMENT,6176,118,TUM_ADJUSTMENT
7/27/2020,1,V150,11400,76,PIN_BASED
7/28/2020,0,V200,8400,42,PIN_LESS_BASED
8/6/2020,0,V050,14000,280,PIN_LESS_BASED
8/6/2020,1,V630,521400,869,PIN_BASED
8/8/2020,1,V200,102200,511,PIN_BASED
8/10/2020,0,V010,2260,226,PIN_LESS_BASED
8/11/2020,0,V100,15900,159,PIN_LESS_BASED
8/29/2020,1,V010,555490,55549,PIN_BASED
8/30/2020,0,V300,6600,22,PIN_LESS_BASED
9/10/2020,0,ADJUSTMENT,4009,103,TUM_ADJUSTMENT
9/14/2020,1,V300,151500,505,PIN_BASED
9/28/2020,1,V010,617640,61764,PIN_BASED
10/1/2020,1,V200,78200,391,PIN_BASED
6/1/2020,1,V010,500180,50018,PIN_BASED
6/3/2020,0,V300,10500,35,PIN_LESS_BASED
6/14/2020,0,ADJUSTMENT,3181,79,TUM_ADJUSTMENT
6/15/2020,1,V080,560,7,PIN_BASED
6/22/2020,0,V2M,20000,10,PIN_LESS_BASED
7/6/2020,0,V100,28500,285,PIN_LESS_BASED
7/6/2020,0,V200,13200,66,PIN_LESS_BASED
7/13/2020,1,V080,480,6,PIN_BASED
7/18/2020,1,V050,789800,15796,PIN_BASED
7/19/2020,0,V300,7500,25,PIN_LESS_BASED
7/19/2020,1,V150,10800,72,PIN_BASED
7/25/2020,0,V630,33600,56,PIN_LESS_BASED
7/28/2020,0,V020,6620,331,PIN_LESS_BASED
8/6/2020,0,V100,28400,284,PIN_LESS_BASED
8/8/2020,1,V010,536110,53611,PIN_BASED
8/12/2020,1,V200,123200,616,PIN_BASED
8/17/2020,1,V300,141900,473,PIN_BASED
8/24/2020,1,V200,138400,692,PIN_BASED
8/26/2020,1,V150,15450,103,PIN_BASED
9/3/2020,0,V020,8740,437,PIN_LESS_BASED
9/10/2020,0,V630,23400,39,PIN_LESS_BASED
9/10/2020,1,S030,270,9,PIN_BASED
9/19/2020,1,V630,324000,540,PIN_BASED
6/1/2020,1,V080,480,6,PIN_BASED
6/4/2020,0,ADJUSTMENT,7644,117,TUM_ADJUSTMENT
6/9/2020,0,V010,8870,887,PIN_LESS_BASED
6/12/2020,1,V020,644780,32239,PIN_BASED
6/24/2020,0,V010,2970,297,PIN_LESS_BASED
6/27/2020,0,ADJUSTMENT,2962,103,TUM_ADJUSTMENT
6/29/2020,0,V150,900,6,PIN_LESS_BASED
7/3/2020,1,V020,800460,40023,PIN_BASED
7/12/2020,0,V630,9600,16,PIN_LESS_BASED
7/15/2020,0,V100,17500,175,PIN_LESS_BASED
7/18/2020,1,V200,93400,467,PIN_BASED
7/21/2020,1,V020,800780,40039,PIN_BASED
8/21/2020,1,V080,960,12,PIN_BASED
9/21/2020,1,V630,531600,886,PIN_BASED
9/28/2020,0,V150,1200,8,PIN_LESS_BASED
6/13/2020,1,V010,467230,46723,PIN_BASED
6/14/2020,0,V080,80,1,PIN_LESS_BASED
6/15/2020,1,V010,495070,49507,PIN_BASED
6/22/2020,1,V080,480,6,PIN_BASED
6/24/2020,0,V300,18900,63,PIN_LESS_BASED
7/15/2020,1,V010,466280,46628,PIN_BASED
7/28/2020,0,V2M,2000,1,PIN_LESS_BASED
8/10/2020,1,V010,556100,55610,PIN_BASED
8/17/2020,0,V200,10800,54,PIN_LESS_BASED
8/24/2020,0,ADJUSTMENT,6698,130,TUM_ADJUSTMENT
9/3/2020,0,V050,16800,336,PIN_LESS_BASED
9/8/2020,1,V150,13200,88,PIN_BASED
9/12/2020,1,V200,105400,527,PIN_BASED
9/12/2020,1,V630,277200,462,PIN_BASED
9/23/2020,0,V100,30800,308,PIN_LESS_BASED
9/23/2020,1,V050,1089800,21796,PIN_BASED
9/25/2020,0,ADJUSTMENT,5803,148,TUM_ADJUSTMENT
9/25/2020,0,V200,10400,52,PIN_LESS_BASED
9/29/2020,0,V020,16160,808,PIN_LESS_BASED
9/30/2020,1,V150,600,4,PIN_BASED
6/4/2020,1,V010,476670,47667,PIN_BASED
6/20/2020,0,V050,16400,328,PIN_LESS_BASED
6/22/2020,1,V150,17250,115,PIN_BASED
6/27/2020,1,V010,470550,47055,PIN_BASED
6/27/2020,1,V200,98800,494,PIN_BASED
6/28/2020,0,ADJUSTMENT,3690,82,TUM_ADJUSTMENT
6/30/2020,0,V300,13500,45,PIN_LESS_BASED
6/30/2020,1,V300,164700,549,PIN_BASED
7/14/2020,0,V020,7800,390,PIN_LESS_BASED
7/22/2020,0,V050,18100,362,PIN_LESS_BASED
7/25/2020,0,V300,9900,33,PIN_LESS_BASED
7/27/2020,1,V020,793540,39677,PIN_BASED
8/5/2020,0,V200,7800,39,PIN_LESS_BASED
8/10/2020,0,V200,9000,45,PIN_LESS_BASED
8/11/2020,0,V010,2330,233,PIN_LESS_BASED
8/15/2020,1,V630,268800,448,PIN_BASED
9/4/2020,1,V200,141800,709,PIN_BASED
9/9/2020,1,S030,510,17,PIN_BASED
9/12/2020,0,V150,900,6,PIN_LESS_BASED
9/12/2020,1,V020,846760,42338,PIN_BASED
9/21/2020,0,V050,21250,425,PIN_LESS_BASED
9/22/2020,0,ADJUSTMENT,6465,143,TUM_ADJUSTMENT
6/2/2020,0,ADJUSTMENT,4988,79,TUM_ADJUSTMENT
6/5/2020,1,V2M,26000,13,PIN_BASED
6/7/2020,1,V200,46000,230,PIN_BASED
6/9/2020,1,V2M,38000,19,PIN_BASED
6/16/2020,0,V300,14100,47,PIN_LESS_BASED
6/25/2020,1,V300,144300,481,PIN_BASED
6/29/2020,0,V300,12900,43,PIN_LESS_BASED
7/6/2020,0,V010,2700,270,PIN_LESS_BASED
7/11/2020,1,V200,110400,552,PIN_BASED
7/12/2020,1,V2M,14000,7,PIN_BASED
7/18/2020,1,V100,568600,5686,PIN_BASED
7/20/2020,0,V300,12000,40,PIN_LESS_BASED
7/24/2020,0,V200,13600,68,PIN_LESS_BASED
8/3/2020,1,V080,400,5,PIN_BASED
8/8/2020,0,V300,8400,28,PIN_LESS_BASED
8/11/2020,1,V300,159900,533,PIN_BASED
8/12/2020,0,ADJUSTMENT,6753,119,TUM_ADJUSTMENT
8/16/2020,1,V2M,26000,13,PIN_BASED
8/24/2020,1,V2M,32000,16,PIN_BASED
8/25/2020,1,V200,137600,688,PIN_BASED
9/7/2020,0,ADJUSTMENT,3542,79,TUM_ADJUSTMENT
9/12/2020,0,V050,13750,275,PIN_LESS_BASED
9/13/2020,0,V630,14400,24,PIN_LESS_BASED
9/14/2020,0,ADJUSTMENT,5367,107,TUM_ADJUSTMENT
9/30/2020,1,V2M,24000,12,PIN_BASED
10/2/2020,1,V020,836440,41822,PIN_BASED
10/6/2020,0,V010,4320,432,PIN_LESS_BASED
6/10/2020,1,V020,653580,32679,PIN_BASED
6/11/2020,1,V150,450,3,PIN_BASED
6/11/2020,1,V300,67500,225,PIN_BASED
6/24/2020,0,V2M,8000,4,PIN_LESS_BASED
6/24/2020,1,V010,488510,48851,PIN_BASED
6/26/2020,0,V100,21900,219,PIN_LESS_BASED
7/3/2020,1,S030,300,10,PIN_BASED
7/7/2020,0,V630,46200,77,PIN_LESS_BASED
7/8/2020,1,S030,120,4,PIN_BASED
7/20/2020,0,ADJUSTMENT,7033,94,TUM_ADJUSTMENT
7/28/2020,0,V630,21600,36,PIN_LESS_BASED
8/2/2020,1,V200,80400,402,PIN_BASED
8/3/2020,1,S030,360,12,PIN_BASED
8/7/2020,1,S030,240,8,PIN_BASED
8/8/2020,1,V100,612300,6123,PIN_BASED
8/14/2020,0,ADJUSTMENT,6028,117,TUM_ADJUSTMENT
8/17/2020,1,V080,80,1,PIN_BASED
8/20/2020,1,V100,705900,7059,PIN_BASED
8/22/2020,1,V010,534650,53465,PIN_BASED
8/23/2020,0,V300,7800,26,PIN_LESS_BASED
9/1/2020,1,V020,824940,41247,PIN_BASED
9/2/2020,0,V2M,10000,5,PIN_LESS_BASED
9/5/2020,1,V010,568410,56841,PIN_BASED
9/11/2020,1,S030,150,5,PIN_BASED
9/18/2020,1,V010,628300,62830,PIN_BASED
9/20/2020,1,V630,257400,429,PIN_BASED
9/21/2020,0,ADJUSTMENT,5493,155,TUM_ADJUSTMENT
9/25/2020,0,V2M,4000,2,PIN_LESS_BASED
9/30/2020,0,V020,25880,1294,PIN_LESS_BASED
10/2/2020,0,V2M,18000,9,PIN_LESS_BASED
10/3/2020,0,V300,12600,42,PIN_LESS_BASED
6/1/2020,0,V010,1230,123,PIN_LESS_BASED
6/3/2020,0,V100,17500,175,PIN_LESS_BASED
6/8/2020,0,V630,40200,67,PIN_LESS_BASED
6/14/2020,0,V300,10500,35,PIN_LESS_BASED
6/22/2020,1,V020,787980,39399,PIN_BASED
7/24/2020,1,S030,330,11,PIN_BASED
7/30/2020,0,V630,28800,48,PIN_LESS_BASED
8/4/2020,1,V050,776900,15538,PIN_BASED
8/11/2020,0,V050,13550,271,PIN_LESS_BASED
8/24/2020,0,V050,20150,403,PIN_LESS_BASED
8/27/2020,0,V200,11600,58,PIN_LESS_BASED
8/30/2020,1,V150,8100,54,PIN_BASED
9/14/2020,1,V2M,34000,17,PIN_BASED
9/24/2020,1,S030,630,21,PIN_BASED
10/2/2020,0,V100,69900,699,PIN_LESS_BASED
6/9/2020,1,V100,420500,4205,PIN_BASED
7/1/2020,0,V2M,6000,3,PIN_LESS_BASED
7/4/2020,0,V100,2500,25,PIN_LESS_BASED
7/4/2020,1,V010,520320,52032,PIN_BASED
7/20/2020,1,V300,197100,657,PIN_BASED
7/28/2020,0,V100,17800,178,PIN_LESS_BASED
8/1/2020,0,V2M,2000,1,PIN_LESS_BASED
8/18/2020,1,V010,543070,54307,PIN_BASED
8/21/2020,1,V020,851100,42555,PIN_BASED
8/24/2020,1,V080,560,7,PIN_BASED
8/25/2020,1,V080,400,5,PIN_BASED
8/26/2020,1,V010,539420,53942,PIN_BASED
8/27/2020,1,V100,723800,7238,PIN_BASED
9/6/2020,0,V050,12950,259,PIN_LESS_BASED
6/6/2020,0,V200,8800,44,PIN_LESS_BASED
6/7/2020,0,V300,12600,42,PIN_LESS_BASED
6/10/2020,0,V010,8170,817,PIN_LESS_BASED
6/11/2020,0,V010,8870,887,PIN_LESS_BASED
6/23/2020,1,V020,766740,38337,PIN_BASED
7/1/2020,1,V150,12750,85,PIN_BASED
7/4/2020,0,V300,1500,5,PIN_LESS_BASED
7/21/2020,1,V100,694500,6945,PIN_BASED
7/23/2020,1,V150,15150,101,PIN_BASED
7/28/2020,0,V300,8400,28,PIN_LESS_BASED
7/28/2020,1,V100,712800,7128,PIN_BASED
8/5/2020,1,V010,578060,57806,PIN_BASED
8/10/2020,1,V300,160800,536,PIN_BASED
8/16/2020,0,V100,15500,155,PIN_LESS_BASED
8/26/2020,1,V2M,26000,13,PIN_BASED
9/1/2020,1,V080,560,7,PIN_BASED
9/2/2020,0,V100,24600,246,PIN_LESS_BASED
9/6/2020,1,V200,80000,400,PIN_BASED
9/14/2020,0,V2M,10000,5,PIN_LESS_BASED
9/25/2020,1,V080,400,5,PIN_BASED
10/5/2020,1,V080,160,2,PIN_BASED
10/6/2020,1,V080,400,5,PIN_BASED
6/16/2020,0,V150,1350,9,PIN_LESS_BASED
6/17/2020,0,V100,23000,230,PIN_LESS_BASED
6/22/2020,1,V050,804600,16092,PIN_BASED
6/26/2020,0,V2M,14000,7,PIN_LESS_BASED
6/27/2020,0,V630,16200,27,PIN_LESS_BASED
7/2/2020,1,V100,649600,6496,PIN_BASED
7/5/2020,1,V050,604100,12082,PIN_BASED
7/12/2020,0,V080,80,1,PIN_LESS_BASED
7/17/2020,0,V150,600,4,PIN_LESS_BASED
7/21/2020,0,V630,44400,74,PIN_LESS_BASED
7/23/2020,1,V080,880,11,PIN_BASED
7/24/2020,1,V080,240,3,PIN_BASED
7/26/2020,1,V050,742350,14847,PIN_BASED
7/29/2020,0,V010,2340,234,PIN_LESS_BASED
7/30/2020,1,V080,480,6,PIN_BASED
8/4/2020,0,V150,900,6,PIN_LESS_BASED
8/14/2020,0,V200,6800,34,PIN_LESS_BASED
9/3/2020,0,V2M,6000,3,PIN_LESS_BASED
9/15/2020,0,V050,16800,336,PIN_LESS_BASED
9/16/2020,1,V630,344400,574,PIN_BASED
9/23/2020,0,ADJUSTMENT,6397,130,TUM_ADJUSTMENT
9/28/2020,0,V2M,8000,4,PIN_LESS_BASED
10/5/2020,0,V020,13620,681,PIN_LESS_BASED
6/5/2020,1,V010,489970,48997,PIN_BASED
6/11/2020,1,V200,40200,201,PIN_BASED
7/2/2020,1,V050,835600,16712,PIN_BASED
7/7/2020,0,V020,9760,488,PIN_LESS_BASED
